Date,Open,High,Low,Close,Volume
10/13/2023,139.380005,140,136.619995,137.360001,23420500
10/16/2023,138.169998,139.630005,137.990005,139.100006,28501900
10/17/2023,138.630005,139.899994,137.179993,139.720001,23515800
10/18/2023,139.449997,140.720001,137.380005,137.960007,23375000
10/19/2023,138.5,139.660004,137.380005,137.75,26066000
10/20/2023,137.330002,137.869995,135.080002,135.600006,26315200
10/23/2023,135.039993,137.660004,133.949997,136.5,26317900
10/24/2023,137.830002,139.360001,137.419998,138.809998,44814300
10/25/2023,128.160004,128.309998,125.07,125.610001,84366200
10/26/2023,123.269997,124.330002,121.269997,122.279999,57061100
10/27/2023,122.879997,123.309998,120.209999,122.169998,44566500
10/30/2023,123.209999,125.400002,122.75,124.459999,28940100
10/31/2023,125.059998,125.370003,122.690002,124.080002,26292300
11/1/2023,124.07,126.489998,123.720001,126.449997,30082400
11/2/2023,128.419998,128.979996,126.93,127.489998,27124600
11/3/2023,128.020004,129.529999,127.860001,129.100006,26380100
11/6/2023,129.050003,130.339996,128.669998,130.25,19052700
11/7/2023,130.710007,131.910004,129.880005,130.970001,29757300
11/8/2023,130.970001,132.210007,130.779999,131.839996,26425800
11/9/2023,131.960007,132.550003,130.070007,130.240005,23747800
11/10/2023,130.100006,132.800003,129.410004,132.589996,26913300
11/13/2023,131.779999,132.589996,131.25,132.089996,18324800
11/14/2023,134.190002,135.699997,133.320007,133.619995,32395200
11/15/2023,134.869995,135.029999,133.570007,134.619995,23861500
11/16/2023,135.190002,137.220001,134.320007,136.929993,28013200
11/17/2023,136,136.059998,133.649994,135.309998,37240600
11/20/2023,133.690002,136.660004,133.619995,136.25,27815500
11/21/2023,136.289993,137.179993,135.960007,136.970001,22635300
11/22/2023,137.470001,139.419998,137.470001,138.490005,17813900
11/24/2023,138.029999,138.130005,135.990005,136.690002,12514300
11/27/2023,136.029999,138.419998,136,136.410004,23436500
11/28/2023,136.080002,137.25,135.419998,137.199997,18730000
11/29/2023,137.570007,138.289993,134.839996,134.990005,23967200
11/30/2023,135.050003,135.550003,131.279999,132.529999,38988300
12/1/2023,131.860001,132.110001,130.669998,131.860001,31431200
12/4/2023,129.880005,130.029999,127.900002,129.270004,36669900
12/5/2023,128.949997,132.139999,128.25,130.990005,27384800
12/6/2023,131.440002,131.839996,129.880005,130.020004,23576200
12/7/2023,135.039993,138.559998,134.699997,136.929993,56767100
12/8/2023,134.199997,136.399994,134.029999,134.990005,32233900
12/11/2023,132.380005,133.339996,131.360001,133.289993,31138000
12/12/2023,131.809998,133,131.259995,132.520004,29032800
12/13/2023,133.380005,133.5,131.570007,132.570007,30104800
12/14/2023,133.380005,133.720001,129.690002,131.940002,38722400
12/15/2023,131.619995,133.509995,131.179993,132.600006,50815200
12/18/2023,132.630005,137.149994,132.429993,135.800003,32258000
12/19/2023,136.839996,137.470001,136.080002,136.649994,25476800
12/20/2023,138.970001,141.699997,138.070007,138.339996,49107200
12/21/2023,139.490005,140.690002,139.179993,140.419998,27488300
12/22/2023,140.770004,141.990005,140.710007,141.490005,26514600
12/26/2023,141.589996,142.679993,141.190002,141.520004,16780300
12/27/2023,141.589996,142.080002,139.889999,140.369995,19628600
12/28/2023,140.779999,141.139999,139.75,140.229996,16045700
12/29/2023,139.630005,140.360001,138.779999,139.690002,18727200
1/2/2024,138.550003,139.449997,136.479996,138.169998,23711200
1/3/2024,137.25,139.630005,137.080002,138.919998,24212100
1/4/2024,138.419998,139.160004,136.350006,136.389999,27137700
1/5/2024,136.75,137.160004,135.149994,135.729996,22506000
1/8/2024,136.289993,139.009995,136.259995,138.839996,21404000
1/9/2024,138.5,141.490005,138.149994,140.949997,24759600
1/10/2024,141,143,140.910004,142.279999,21320200
1/11/2024,143.490005,145.220001,140.639999,142.080002,24008700
1/12/2024,142.669998,143.199997,141.820007,142.649994,18768600
1/16/2024,142,144.350006,141.449997,142.490005,22670500
1/17/2024,141.350006,141.839996,138.899994,141.470001,20968600
1/18/2024,142.050003,144.210007,141.990005,143.479996,25746400
1/19/2024,144.740005,146.449997,144.380005,146.380005,33300700
1/22/2024,147.100006,148.389999,145.839996,145.990005,32200400
1/23/2024,145.889999,147.179993,145.5,147.039993,21636100
1/24/2024,148.539993,149.850006,148.100006,148.699997,25233500
1/25/2024,150.070007,153.050003,149.539993,151.869995,29149100
1/26/2024,151.100006,152.539993,151.009995,152.190002,26115500
